filename,collection,seed,crawl-time,crawl-start,store-time
ARCHIVEIT-12912-WEEKLY-JOB1351555-SEED2173769-20210120221706709-00000-h3.warc.gz,12912,2173769, 2021-01-20 22:17:06.709000, 2021-01-20 22:17:00.622108, 2021-01-25 17:06:00.924186
ARCHIVEIT-12912-MONTHLY-JOB1349003-SEED2184360-20210118000840766-00003-h3.warc.gz,12912,2184360, 2021-01-18 00:08:40.766000, 2021-01-15 22:17:14.155852, 2021-01-18 22:26:55.592866
ARCHIVEIT-12912-MONTHLY-JOB1349003-SEED2184360-20210117083511682-00002-h3.warc.gz,12912,2184360, 2021-01-17 08:35:11.682000, 2021-01-15 22:17:14.155852, 2021-01-18 00:12:01.899339
ARCHIVEIT-12912-MONTHLY-JOB1349003-SEED2184360-20210116120624145-00001-h3.warc.gz,12912,2184360, 2021-01-16 12:06:24.145000, 2021-01-15 22:17:14.155852, 2021-01-17 08:42:19.703914
ARCHIVEIT-12912-WEEKLY-JOB1347539-SEED2173769-20210113221705366-00000-h3.warc.gz,12912,2173769, 2021-01-13 22:17:05.366000, 2021-01-13 22:17:00.443181, 2021-01-16 22:21:31.401950
ARCHIVEIT-12912-MONTHLY-JOB1349003-SEED2184360-20210115221719104-00000-h3.warc.gz,12912,2184360, 2021-01-15 22:17:19.104000, 2021-01-15 22:17:14.155852, 2021-01-16 12:12:24.037892
ARCHIVEIT-12912-WEEKLY-JOB1343277-SEED2173769-20210106221703943-00000-h3.warc.gz,12912,2173769, 2021-01-06 22:17:03.943000, 2021-01-06 22:16:59.824236, 2021-01-09 22:21:12.653867
ARCHIVEIT-12912-WEEKLY-JOB1339555-SEED2173769-20201230221705816-00000-h3.warc.gz,12912,2173769, 2020-12-30 22:17:05.816000, 2020-12-30 22:17:01.740312, 2021-01-02 22:22:12.702047
ARCHIVEIT-12912-WEEKLY-JOB1336741-SEED2173769-20201223221707355-00000-h3.warc.gz,12912,2173769, 2020-12-23 22:17:07.355000, 2020-12-23 22:17:01.786861, 2020-12-26 22:21:35.748348
ARCHIVEIT-12912-WEEKLY-JOB1332524-SEED2173769-20201216221710337-00000-h3.warc.gz,12912,2173769, 2020-12-16 22:17:10.337000, 2020-12-16 22:17:04.423349, 2020-12-20 03:11:49.441111
ARCHIVEIT-12912-MONTHLY-JOB1331824-SEED2184360-20201217074051962-00002-h3.warc.gz,12912,2184360, 2020-12-17 07:40:51.962000, 2020-12-15 22:17:18.344703, 2020-12-19 09:35:36.889770
ARCHIVEIT-12912-MONTHLY-JOB1331824-SEED2184360-20201216101052484-00001-h3.warc.gz,12912,2184360, 2020-12-16 10:10:52.484000, 2020-12-15 22:17:18.344703, 2020-12-17 15:28:25.236037
ARCHIVEIT-12912-MONTHLY-JOB1331824-SEED2184360-20201215221723992-00000-h3.warc.gz,12912,2184360, 2020-12-15 22:17:23.992000, 2020-12-15 22:17:18.344703, 2020-12-16 10:21:20.195085
ARCHIVEIT-12912-WEEKLY-JOB1328758-SEED2173769-20201209221706410-00000-h3.warc.gz,12912,2173769, 2020-12-09 22:17:06.410000, 2020-12-09 22:17:00.160712, 2020-12-13 17:55:59.939075
ARCHIVEIT-12912-WEEKLY-JOB1324636-SEED2173769-20201202221707773-00000-h3.warc.gz,12912,2173769, 2020-12-02 22:17:07.773000, 2020-12-02 22:17:02.210497, 2020-12-06 16:09:54.659372
ARCHIVEIT-12265-TEST-JOB1315852-SEED2444051-20201116181313210-00000-h3.warc.gz,12265,2444051, 2020-11-16 18:13:13.210000, 2020-11-16 18:13:08.807163, 2020-12-03 17:30:54.699914
ARCHIVEIT-12912-WEEKLY-JOB1321232-SEED2173769-20201125221732897-00000-h3.warc.gz,12912,2173769, 2020-11-25 22:17:32.897000, 2020-11-25 22:17:22.363294, 2020-11-28 22:36:52.656312
ARCHIVEIT-12912-WEEKLY-JOB1317261-SEED2173769-20201122030848105-00001-h3.warc.gz,12912,2173769, 2020-11-22 03:08:48.105000, 2020-11-18 22:16:59.839002, 2020-11-22 13:20:07.949001
ARCHIVEIT-12912-WEEKLY-JOB1317261-SEED2173769-20201118221737834-00000-h3.warc.gz,12912,2173769, 2020-11-18 22:17:37.834000, 2020-11-18 22:16:59.839002, 2020-11-22 04:41:56.397115
ARCHIVEIT-12912-MONTHLY-JOB1315491-SEED2184360-20201118142900224-00003-h3.warc.gz,12912,2184360, 2020-11-18 14:29:00.224000, 2020-11-15 22:17:14.047325, 2020-11-19 18:12:11.619725
ARCHIVEIT-12912-MONTHLY-JOB1315491-SEED2184360-20201116214031012-00002-h3.warc.gz,12912,2184360, 2020-11-16 21:40:31.012000, 2020-11-15 22:17:14.047325, 2020-11-19 18:01:23.637681
ARCHIVEIT-12912-MONTHLY-JOB1315491-SEED2184360-20201116082743339-00001-h3.warc.gz,12912,2184360, 2020-11-16 08:27:43.339000, 2020-11-15 22:17:14.047325, 2020-11-16 21:47:10.495067
ARCHIVEIT-12912-MONTHLY-JOB1315491-SEED2184360-20201115221719136-00000-h3.warc.gz,12912,2184360, 2020-11-15 22:17:19.136000, 2020-11-15 22:17:14.047325, 2020-11-16 08:32:28.460438
ARCHIVEIT-12912-WEEKLY-JOB1313661-SEED2173769-20201111221704757-00000-h3.warc.gz,12912,2173769, 2020-11-11 22:17:04.757000, 2020-11-11 22:17:00.626733, 2020-11-14 22:21:11.783205
ARCHIVEIT-12912-WEEKLY-JOB1310162-SEED2173769-20201104221709798-00000-h3.warc.gz,12912,2173769, 2020-11-04 22:17:09.798000, 2020-11-04 22:17:02.024849, 2020-11-07 22:20:32.283923
